OID_,World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,IHO S-130 Sea Area,Sailing Direction or Publication,Publication Link,Standard Nautical Chart,IHO S-57 Electronic Navigational Chart,IHO S-101 Electronic Navigational Chart,Digital Nautical Chart,Tidal Range (m),Entrance Width (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Oil Terminal Depth (m),Liquified Natural Gas Terminal Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Offshore Maximum Vessel Length (m),Offshore Maximum Vessel Beam (m),Offshore Maximum Vessel Draft (m),Harbor Size,Harbor Type,Latitude,Longitude
2306,52660,Seram -- 52650,Wahai, ,ID WBA,Indonesia,Ceram Sea; Banda Sea; South Pacific Ocean, ,Sailing Directions Pub. 164 (Enroute) - New Guinea,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub164bk.pdf&type=view, , , ,"coa04f, gen04c",2,0,23.2,23.2,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),-2.783333,129.5
2307,48155,Yemen Aden -- 48143,Ras Isa Marine Terminal, ,YE RAI,Yemen,Red Sea; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,803629, , ,"a1048165, coa10h, gen10c",3,0,0,23.2,0,11,0,0,0,0,0,0,0,Large, ,15.133333,42.6
2308,7405,United States E Coast -- 6585,Tiverton, ,US TIV,United States,North Atlantic Ocean, ,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,13226, , ,"a1707420, h1707420",1.2,0,7.9,6.4,9.4,9.4,0,0,0,0,0,0,0,Small,River (Natural),41.633333,-71.216667
2309,50510,Indonesia -- 50020,Sibolga,Siboga; Tapnuli,ID SLG,Indonesia,Indian Ocean, ,Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub174bk.pdf&type=view, , , ,"a0350510, coa03g, gen03c, h0350510",0,0,6.4,11,4.9,7.9,0,0,0,0,0,0,0,Very Small,Coastal (Natural),1.733333,98.766667
2310,51587,Malaysia -- 49820,Tanjung Pelepas, ,MY TPP,Malaysia,Strait of Malacca; Indian Ocean, ,Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub174bk.pdf&type=view,71252, , ,"a0350000, coa03f, gen03c, h0351587",2,0,14,15.5,14,14,0,0,0,0,0,0,0,Medium,River (Basins),1.35,103.55
2311,51070,Jawa -- 50920,Rembang, ,ID REM,Indonesia,Java Sea; South Pacific Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view, , , ,"coa04d, gen04c",0,0,9.4,9.4,0,9.4,0,0,0,0,0,0,0,Very Small,Open Roadstead,-6.7,111.35
2312,62077,Japan -- 61100,Takuma, ,JP TKM,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,97252, , ,"coa12c, gen12b",4,0,11,7.9,4.9,0,0,0,0,0,0,0,0,Small,River (Basins),34.216667,133.683333
2313,51100,Jawa -- 50920,Tuban, ,ID TBN,Indonesia,Java Sea; South Pacific Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view, , , ,"coa04d, gen04c",4,0,1.8,7.9,1.8,23.2,0,0,0,0,0,0,0,Very Small,Open Roadstead,-6.733333,112.15
2314,7980,United States E Coast -- 6585,South Amboy, ,US ZZM,United States,North Atlantic Ocean, ,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,12331, , ,"a1707640, coa17c, h1707960",1.5,0,9.4,9.4,7.9,0,0,0,0,0,0,0,0,Small,Coastal (Natural),40.483333,-74.266667
2315,11470,Guadeloupe -- 11445,Port Louis, ,GP PTL,Guadeloupe,Caribbean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 147 (Enroute) - Caribbean Sea - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub147bk.pdf&type=view,25563, , ,"a1411445, coa14h, gen14a, h1411470",1,0,0,11,0,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,16.416667,-61.533333
2316,51580,Sarawak -- 51550,Sibu, ,MY SBW,Malaysia,South China Sea; North Pacific Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view, , , ,gen11b,3,0,3.4,7.9,7.9,4.9,0,0,0,0,0,0,0,Very Small,River (Natural),2.283333,111.816667
2317,8115,United States E Coast -- 6585,Paulsboro, ,US PAU,United States,North Atlantic Ocean, ,U.S. Coast Pilot 3 - Atlantic Coast: Sandy Hook NJ to Cape Henry VA,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp3/CPB3_WEB.pdf,12313, , ,"a1708130, h1708130",1.8,0,9.4,9.4,9.4,11,0,0,0,0,0,0,0,Very Small,River (Natural),39.85,-75.25
2318,61415,Japan -- 61100,Tagonoura Ko, ,JP TGO,Japan,North Pacific Ocean, ,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub158bk.pdf&type=view,97159, , ,"a1261460, coa12b, gen12b, h1261455",1,0,7.9,0,11,7.9,0,0,0,0,0,0,0,Medium,River (Basins),35.133333,138.7
2319,50600,Sumatera -- 50515,Uleelheue,Lhonga; Olee Lheue; Olehleh Road,ID OLO,Indonesia,Andaman Sea; Indian Ocean, ,Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub174bk.pdf&type=view,"71045, 71050", , ,"a0350610, coa03c, gen03c",2,0,7.9,7.9,9.4,7.9,0,0,0,0,0,0,0,Very Small,Open Roadstead,5.566667,95.283333
2320,55800,Society Islands -- 55765,Uturoa, ,PF UTU,French Polynesia,South Pacific Ocean, ,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,83393, , ,gen06e,0,0,11,23.2,6.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),-16.733333,-151.45
2321,10960,Dominican Republic -- 10950,Pepillo Salcedo,Puerto Libertador; Puerto Manzanillo,DO SAL,Dominican Republic,North Atlantic Ocean, ,Sailing Directions Pub. 147 (Enroute) - Caribbean Sea - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub147bk.pdf&type=view,26145, , ,"a1610930, coa16f, gen16, h1610960",1,0,9.4,23.2,11,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,19.7,-71.75
2322,60440,North Korea Continued -- 60438,Wonsan, ,KP WON,North Korea,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view,809381, , ,"a2360440, coa23g, gen23a, h2360440",0,0,11,6.4,4.9,0,0,0,0,0,0,0,0,Small,Coastal (Natural),39.166667,127.45
2323,59150,Philippine Islands -- 57960,Port Capiz,Culasi; Roxas City,PH CSI,Philippines,Philippine inland seas; North Pacific Ocean, ,Sailing Directions Pub. 162 (Enroute) - Philippine Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub162bk.pdf&type=view,92410, , ,"a1159150, coa11g, gen11a, h1159150",4,0,4.9,4.9,11,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),11.6,122.716667
2324,53206,New Guinea SE Coast -- 53140,Oro Bay, ,PG ROR,Papua New Guinea,Solomon Sea; South Pacific Ocean, ,Sailing Directions Pub. 164 (Enroute) - New Guinea,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub164bk.pdf&type=view, , , ,"coa05f, gen05a",4,0,11,15.5,11,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),-8.883333,148.483333
2325,61802,Japan -- 61100,Uchiura, ,JP UCR,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,95289, , ,"a1261800, coa12a, gen12b",0,0,20.1,14,20.1,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),35.516667,135.5
2326,55560,Fiji -- 55510,Savusavu Bay,Nakama,FJ SVU,Fiji,South Pacific Ocean, ,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view, , , ,"coa06a, gen06a",1,0,1.8,23.2,4.9,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,-16.766667,179.333333
2327,60200,China Continued -- 59850,Qinhuangdao,Chin Huang Tao; Chin Wangtao; Qinhuangdao,CN SHP,China,Bo Hai; Yellow Sea; North Pacific Ocean, ,Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view,"94360, 94420", , ,"coa23e, gen23a, h2360200",1,0,12.5,14,15.5,11,0,0,0,0,0,0,0,Medium,Coastal (Breakwater),39.933333,119.616667
2328,10800,Jamaica South Coast -- 10730,Savannah La Mar, ,JM SLM,Jamaica,Caribbean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 147 (Enroute) - Caribbean Sea - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub147bk.pdf&type=view,26150, , ,"coa15e, gen15, h1510800",1,0,14,6.4,1.8,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,18.2,-78.133333
2329,61566,Japan -- 61100,Shikama, ,JP SKM,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,97198, , ,"a1261567, coa12c, gen12b, h1261567",1,0,11,0,4.9,6.4,0,0,0,0,0,0,0,Small,Coastal (Breakwater),34.766667,134.65
2330,53190,New Guinea SE Coast -- 53140,Suloga Harbor, , ,Papua New Guinea,Solomon Sea; South Pacific Ocean, ,Sailing Directions Pub. 164 (Enroute) - New Guinea,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub164bk.pdf&type=view, , , ,"coa05f, gen05a",4,0,23.2,23.2,0,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),-9.216667,152.766667
2331,7560,United States E Coast -- 6585,Port Jefferson, ,US PTJ,United States,North Atlantic Ocean, ,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,"12362, 12364", , ,"a1707550, coa17c, gen17a, h1707560",2.1,0,6.4,7.9,6.4,7.9,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),40.95,-73.083333
2332,60220,China Continued -- 59850,Yingkou,Newchwang,CN YIK,China,Bo Hai; Yellow Sea; North Pacific Ocean, ,Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view,94380, , ,"a2360220, coa23e, gen23a, h2360220",2,0,4.9,7.9,4.9,11,0,0,0,0,0,0,0,Small,Coastal (Breakwater),40.683333,122.233333
2333,28515,Estonia -- 28420,Rohukula, ,EE RHK,Estonia,Gulf of Riga; Baltic Sea; North Atlantic Ocean, ,Sailing Directions Pub. 194 (Enroute) - Baltic Sea (Southern Part),https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub194bk.pdf&type=view,"44320, 44400", , ,"coa22r, gen22e",0,57,5.2,0,4.6,0,0,0,0,5.2,0,0,0,Very Small,Coastal (Breakwater),58.90606,23.423923
2334,48267,United Arab Emirates -- 48260,Zirkuh Oil Field,Az Zarqa Petroleum Port,AE ZUR,United Arab Emirates,Persian Gulf; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,"62401, 62408", , ,"a1048277, coa10m, gen10a",1,0,20.1,0,0,20.1,0,0,0,0,0,0,0,Small,Open Roadstead,24.866667,53.05
2335,49995,Singapore -- 49990,Serangoon Harbor,Selarang, ,Singapore,Strait of Malacca; Indian Ocean, ,Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub174bk.pdf&type=view,71250, , ,"a0350001, coa03f, gen03c, h0349995",0,0,12.5,11,7.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),1.4,103.95
2336,49910,Malaysia -- 49820,Teluk Anson, ,MY TAN,Malaysia,Strait of Malacca; Indian Ocean, ,Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub174bk.pdf&type=view,71295, , ,gen03c,3,0,0,4.9,1.8,4.9,0,0,0,0,0,0,0,Very Small,River (Natural),4.016667,101.016667
2337,62120,Japan -- 61100,Wakamatsu Ko, ,JP WAM,Japan,Korea Strait; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,95339, , ,"a2362120, coa23f, gen23a, h2362120",1,0,9.4,18.6,17.1,0,0,0,0,0,0,0,0,Large,Coastal (Natural),33.9,130.816667
2338,48320,Bahrain -- 48305,Sitrah,Jazirat Sitrah,BH SIT,Bahrain,Persian Gulf; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,"62425, 62453", , ,"a1048320, coa10m, gen10a, h1048325",2,0,14,14,14,14,0,0,0,0,0,0,0,Medium,Open Roadstead,26.166667,50.666667
2339,60110,China Continued -- 59850,Wanxian,Wan Hsie Shih,CN WAX,China,Gulf of Tonkin; South China Sea; North Pacific Ocean, ,Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view, , , ,gen23b,90,0,1.8,12.5,0,0,0,0,0,0,0,0,0,Very Small,River (Natural),30.816667,108.433333
2340,60520,North Korea Continued -- 60438,Senbong,Uki, ,North Korea,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view,803498, , ,"a2360510, coa23g, gen23a",1,0,23.2,23.2,23.2,0,0,0,0,0,0,0,0,Small,Coastal (Natural),42.333333,130.4
2341,61890,Japan -- 61100,Ryotu Ko,Ryozu Sado Shima,JP RYO,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,95274, , ,"coa12a, gen12b",1,0,18.6,23.2,6.4,9.4,0,0,0,0,0,0,0,Very Small,Coastal (Natural),38.083333,138.566667
2342,61350,Japan -- 61100,Sendai-Shiogama,Siogama,JP SGM,Japan,North Pacific Ocean, ,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub158bk.pdf&type=view,97084, , ,"a1261350, coa12b, gen12b, h1261350",1,0,6.4,11,7.9,17.1,0,0,0,0,0,0,0,Small,Coastal (Natural),38.316667,141.033333
2343,62380,Japan -- 61100,Sasebo, ,JP SSB,Japan,East China Sea; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,97356, , ,"a2362380, coa23f, gen23a, h2362380",3,0,11,23.2,11,12.5,0,0,0,0,0,0,0,Medium,Coastal (Natural),33.166667,129.716667
2344,57995,Philippine Islands -- 57960,Port San Vicente, , ,Philippines,Luzon Strait; North Pacific Ocean, ,Sailing Directions Pub. 162 (Enroute) - Philippine Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub162bk.pdf&type=view,91140, , ,"coa23i, gen23b",3,0,17.1,12.5,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),18.516667,122.133333
2345,49770,Thailand -- 49760,Phuket,Puket; Tha Rua Phuket,TH PKT,Thailand,Andaman Sea; Indian Ocean, ,Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub174bk.pdf&type=view,71043, , ,"a0349770, coa03c, gen03a, h0349770",3,0,7.9,6.4,9.4,6.4,0,0,0,0,0,0,0,Small,Open Roadstead,7.833333,98.4
2346,50516,Sumatera -- 50515,Tanjung Balai Karimun, ,ID TJB,Indonesia,Strait of Malacca; Indian Ocean, ,Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub174bk.pdf&type=view,71252, , ,"a0350000, coa03f, gen03c",3,0,21.6,18.6,7.9,21.6,0,0,0,0,0,0,0,Very Small,Coastal (Natural),0.983333,103.433333
2347,62110,Japan -- 61100,Sakaide Ko,Sakaide,JP SKD,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,97256, , ,"a1262110, coa12c, gen12b, h1262110",1,0,12.5,15.5,12.5,18.6,0,0,0,0,0,0,0,Very Small,Coastal (Natural),34.333333,133.85
2348,61500,Japan -- 61100,Toba, ,JP TOB,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub158bk.pdf&type=view,97090, , ,"a1261500, coa12b, gen12b",4,0,7.9,14,4.9,0,0,0,0,0,0,0,0,Small,Coastal (Natural),34.483333,136.85
2349,54575,Australia -- 53290,Point Murat, , ,Australia,Indian Ocean, ,Sailing Directions Pub. 175 (Enroute) - North West and South Coasts of Australia,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub175bk.pdf&type=view,74527, , ,"coa04j, gen04b, h0454575",2,0,11,7.9,11,9.4,0,0,0,0,0,0,0,Very Small,Open Roadstead,-21.816667,114.183333
2350,60160,China Continued -- 59850,Yantai,Chefoo; Chin Fou,CN YTG,China,Yellow Sea; North Pacific Ocean, ,Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view,94420, , ,"a2360160, coa23e, gen23a, h2360160",2,0,14,15.5,14,0,0,0,0,0,0,0,0,Small,Coastal (Breakwater),37.55,121.45
2351,61547,Japan -- 61100,Sakai-Senboku, ,JP SBK,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,97197, , ,"a1261550, coa12c, gen12b, h1261547",1,0,15.5,9.4,17.1,18.6,0,0,0,0,0,0,0,Medium,Coastal (Breakwater),34.55,135.433333
2352,57458,Thailand -- 57431,Si Racha, ,TH SRI,Thailand,Gulf of Thailand; South China Sea; North Pacific Ocean, ,Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view,93244, , ,"a0357460, coa03e, gen03a, h0357460",2,0,14,21.6,12.5,0,0,0,0,0,0,0,0,Medium,Open Roadstead,13.166667,100.916667
2353,50610,Sumatera -- 50515,Sabang, ,ID SBG,Indonesia,Andaman Sea; Indian Ocean, ,Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub174bk.pdf&type=view,"71045, 71050", , ,"a0350610, coa03c, gen03c, h0350610",1,0,21.6,21.6,7.9,11,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),5.883333,95.316667
2354,49962,Malaysia -- 49820,Pelabuhan Sungai Udang, ,MY SUP,Malaysia,Strait of Malacca; Indian Ocean, ,Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub174bk.pdf&type=view,71275, , ,"a0349970, coa03f, gen03c",2,0,17.1,18.6,4.9,7.9,0,0,0,0,0,0,0,Very Small,Open Roadstead,2.25,102.133333
2355,54120,Australia -- 53290,Warrnambool, ,AU WMB,Australia,Indian Ocean, ,Sailing Directions Pub. 127 (Enroute) - East Coast of Australia and New Zealand,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub127bk.pdf&type=view,75160, , ,"coa05a, gen05c, h0554120",2,0,7.9,4.9,4.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),-38.4,142.483333
2356,28506, ,Paldiski Pohjasadam, ,EE PLN,Estonia,Gulf of Finland; Baltic Sea; North Atlantic Ocean, ,Sailing Directions Pub. 195 (Enroute) - Gulf of Finland and Gulf of Bothnia,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub195bk.pdf&type=view,44340, , ,"a2228505, coa22v, gen22d, h2228505",0,0,0,0,12.2,0,0,250,36,12,0,0,0,Small,Coastal (Breakwater),59.349752,24.047504
2357,50971,Indonesia -- 50915,Poleng Oil Field, ,ID POL,Indonesia,Java Sea; South Pacific Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view, , , ,"coa04d, gen04c",0,0,0,23.2,0,23.2,0,0,0,0,0,0,0,Very Small,Open Roadstead,-6.65,112.916667
2358,61940,Japan -- 61100,Takamatsu, ,JP TAK,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,97253, , ,"a1262110, coa12c, gen12b",2,0,9.4,9.4,11,6.4,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),34.35,134.05
2359,7600,United States E Coast -- 6585,Stamford, ,US XLX,United States,North Atlantic Ocean, ,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,"12367, 12368", , ,"a1707640, coa17c, gen17a, h1707570",2.1,0,3.4,3.4,3.4,0,0,0,0,0,0,0,0,Very Small,River (Natural),41.033333,-73.55
2360,61680,Japan -- 61100,Tokuyama, ,JP TKY,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,97273, , ,"a2361680, coa23h, gen23a, h2361680",3,0,11,15.5,11,12.5,0,0,0,0,0,0,0,Medium,Open Roadstead,34.033333,131.816667
2361,7740,United States E Coast -- 6585,Troy, ,US TRY,United States,North Atlantic Ocean, ,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,14786, , ,h1707680,1.5,0,3.4,3.4,3.4,3.4,0,0,0,0,0,0,0,Very Small,River (Natural),42.733333,-73.7
2362,61490,Japan -- 61100,Yokkaichi,Yokkaiti,JP YKK,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub158bk.pdf&type=view,97089, , ,"a1261480, coa12b, gen12b, h1261490",2,0,11,12.5,14,21.6,0,0,0,0,0,0,0,Medium,Coastal (Breakwater),34.966667,136.633333
2363,57820,China -- 57815,Qinzhou, ,CN QZH,China,Gulf of Tonkin; South China Sea; North Pacific Ocean, ,Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view,93650, , ,"a2357750, coa23b, gen23b, h2357745",5,0,12.5,11,9.4,6.4,0,0,0,0,0,0,0,Very Small,Coastal (Natural),21.733333,108.583333
2364,51910,Indonesia - Borneo -- 51760,Sampit, ,ID SMQ,Indonesia,Java Sea; South Pacific Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view, , , ,gen04c,2,0,7.9,1.8,6.4,6.4,0,0,0,0,0,0,0,Very Small,River (Natural),-2.516667,113
2365,62224,Japan -- 61100,Shibushi Wan, ,JP SBS,Japan,East China Sea; North Pacific Ocean, ,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub158bk.pdf&type=view,97327, , ,"a2362223, coa23h, gen23a",2,0,9.4,21.6,11,0,0,0,0,0,0,0,0,Small,Coastal (Breakwater),31.466667,131.1
2366,51350,Lesser Sunda Islands -- 51250,Waingapu, ,ID WGP,Indonesia,Savu Sea; Indian Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view, , , ,gen04c,2,0,12.5,23.2,11,7.9,0,0,0,0,0,0,0,Very Small,Open Roadstead,-9.633333,120.216667
2367,55370,New Zealand S Island -- 55260,Otago Harbor,Cavensbourne; Oavensbourne,NZ ORR,New Zealand,South Pacific Ocean, ,Sailing Directions Pub. 127 (Enroute) - East Coast of Australia and New Zealand,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub127bk.pdf&type=view,76141, , ,"a0655370, coa06g, gen06b, h0655370",2,0,14,23.2,12.5,4.9,0,0,0,0,0,0,0,Small,River (Basins),-45.816667,170.633333
